Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bhutan,,,,,,,,,,,,,,,,,,,2.2004933770400754,2.206717047542686,2.214854127859649,2.2442397813812,2.2827716529434783,2.25046396246057,2.16881346424174,2.1266763929038386,2.1135344504834124,2.0303709911904955,1.9291407038942057,1.9749357740666649,2.0527973323845137,2.1664350355801374,2.230405803339261,2.3013431456775124,2.365100287086541,2.3775948627794117,2.35594038888425,2.298616172137398,2.4079459196409347,2.370933912484461,2.314684521672998,2.325318497282436,2.3376965874790128,2.2389718779895382,2.370937522598325,2.44395845732804,2.3887980415729424,2.4881378892690584,2.3135090004483554,2.466690239876301,2.5760413000523323,2.771961552149636,2.767286186149557,2.710344793297289,2.727799371709637,2.756123099901604
Bolivia,0.6881275552266682,0.7134581312934002,0.7347052490823759,0.7422137280487926,0.7692755803923544,0.7686772173284098,0.7871657085037465,0.8147406894539876,0.8314254715561739,0.8268318364777805,0.8433241991085065,0.8734034538063917,0.8868225560410965,0.9727635826441718,1.020909126198786,1.051918064306338,1.0974375512046461,1.1795007028392706,1.2388860789008034,1.213924544879716,1.200064764814376,1.1622227684107322,1.2243826032154401,1.0901862089374823,1.1559163297239183,1.0690515823492892,1.1459717653130088,1.1308194308502104,1.1270451297064892,1.0021119892159889,1.1064732830254966,1.1610635758529129,1.2096361867324348,1.2184108154991675,1.2860661024227835,1.2470558629931554,1.2746647150372026,1.3239933864033964,1.3109444724356514,1.4814258517575025,1.326991411319695,1.367080311735688,1.4083557030812583,1.3863617997463966,1.4574832512584146,1.5004907981939104,1.5476376415766957,1.5882814864665034,1.668046351484836,1.6928631460187789,1.7984799747702862,1.8802480946174527,1.8422250757843932,1.870717885974433,1.9156032899292925,1.9539437570760956
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320800918387352,0.9107025194358289,0.5623786763576262,0.5843320632107604,0.7406063761973072,1.235571246563958,1.3866063835003308,1.394579410864061,1.588082052357165,1.6414150737075757,1.8745861574953195,1.6935489384205589,1.6765056596626813,1.7135325086577136,1.7589452741225213,1.8130014411039916,1.9941448828351467,1.9167000989657734,1.87412109730337,2.057629599890659,2.0248218072306465,2.0268637338761795,1.9936322383916065,2.093537607456748,2.2699712768025724
Botswana,,,,,,0.5201150795184987,0.6927251949706325,0.9376997886204566,1.1159840895756494,1.047243790879564,1.0547260868375863,1.2084412619363618,0.8202450524989527,0.8120772825623923,0.8465652099925092,1.036707314187461,1.168649226317972,1.2658991456632134,0.9191834544386956,1.3510695708629652,1.0827126270916996,0.9466482769653137,0.9376607046481247,1.1225035713793112,1.0276907401436606,0.8878711126250896,1.040766652349311,1.2357496025952446,1.2020947107945836,1.3897904935441865,1.1866110397055625,1.1974181340598682,1.041963512322829,1.200196601906088,1.200489318791783,1.3958870135329555,1.2874669424264285,1.4238868711937749,1.4511803750103558,1.8916876601219719,1.6687350726882906,1.9571481985395531,1.8175362511177613,1.7233282808862997,1.8931600110182112,1.9085670389059373,1.5079973591855942,1.7987064331624483,1.6953699244720253,1.6413622845690023,2.0641623120642314,1.9036171002872717,1.69956526754579,1.5456374366364833,1.5310680709765137,1.6693586912764014
Brazil,0.776636686892154,0.8014410219941698,0.7907038248751062,0.7869771595434006,0.8134176892949887,0.8174160335597392,0.8454413811552948,0.8652523497411297,0.8764979249509496,0.9070236698164187,0.9478839417282818,0.9714528045182537,1.0001271586216116,1.0994269711807407,1.0969952503772618,1.1557357053832347,1.2102081080244529,1.23461744158399,1.297088258358599,1.3367103259819575,1.2716068486079188,1.2645301225693142,1.2267704591778161,1.242479890551399,1.2711657338908602,1.3863099983480716,1.3752005449620817,1.3615523777798781,1.424062272428163,1.3983011731819486,1.447849706091204,1.4307676025620517,1.4635735790380935,1.5119469056814343,1.605556800585851,1.583077035238346,1.5827067895842322,1.5723451972018152,1.5932593703150362,1.655784307694169,1.5848465028005458,1.6132771475821506,1.6726790390787867,1.5713869968056222,1.525627282183128,1.531869229119593,1.5940944840894111,1.6722306646534537,1.6191738375484286,1.7614745046548965,1.8526067623995395,1.8535608831591752,1.8542681036125408,1.8615546670378895,1.7698805171197596,1.7250700673530943
Brunei,,,,,,,,,,,,,,,,,,,,,1.2657785786641187,1.6322462137591298,1.7686365506708766,2.302303655476286,2.1420803452713613,1.5737531713633468,1.798339630596801,1.4138282847391759,1.7550581793842077,1.8993003109524453,1.8728995334170055,1.595792339491414,1.5914078345429246,2.2102863158730646,2.970088093912046,2.920933782454842,3.1623238297730163,3.4984036808677526,3.063347881245095,2.9050035553177387,2.443384400900949,2.313146403840027,2.8890043778544863,3.646921762813522,3.1297314571338397,3.9071439828555476,3.9643085728803142,4.195412769015584,3.832158209575436,2.7620558960471375,3.302090200121757,3.3643807722435137,4.0417290889591415,3.471178528919551,2.974155265032729,2.5902723910717658
Bulgaria,0.7973380169145489,0.8872031353141855,0.989655344575549,1.1720532028062394,1.2543779739804086,1.352329160465198,1.4278135226539612,1.48302607391042,1.6679955205325907,1.6491733557577923,1.7083640732224787,1.8109928332985985,1.8517730205921188,1.931127025659929,2.0809874413899268,2.1215545303486367,2.0982527010526844,2.1467096784344393,2.277110358059742,2.2671480887992703,2.283372003814154,2.3168384309107575,2.2103771225182616,2.263318414505874,2.2229184128672737,2.453865008656564,2.4117945325967427,2.513752459696924,2.6289453370769618,2.2781864730622723,2.035122158362457,1.7253925431278787,1.7805794690389452,1.8134318651928114,1.8486355902827794,1.6328134446363107,1.7757012325836805,1.7296006618559467,1.6720172345832973,1.6346841408268968,1.8463443059129006,1.8811072954509847,1.957276004151422,2.295571763707182,2.098795061592326,2.366354028027573,2.314272703653611,2.549283652313967,2.0711443308926967,2.0827475673960967,2.054308902697519,2.0431767161236674,1.917372733234085,1.9860929771849043,2.0900497769202655,2.1141805091022836
Burkina Faso,0.3627161069500868,0.3784347626614241,0.39616919725384936,0.4170743389772758,0.4315299143504324,0.47183070519553844,0.4884080012667306,0.489906508853734,0.5034531983300169,0.517142729286582,0.4972568905219697,0.5068485725931966,0.4921582585998057,0.5143017587377126,0.5350747369184221,0.5264097530223855,0.55116164417618,0.5574015982121716,0.5546539766247979,0.5444538191015317,0.5682974362454695,0.5793679544744613,0.5688914193056782,0.565803766373305,0.6378174534234934,0.6505458192571468,0.6272668410490598,0.6647238375074672,0.6349278869395995,0.5847228391591569,0.6795108136840825,0.6945825887866189,0.6966532763840633,0.6455813544510433,0.6572969806008745,0.6909455132232084,0.6351476160507471,0.7006395698585994,0.6326280808727365,0.5165042775430293,0.631974982054064,0.6012068768198631,0.6610885843451679,0.5789890153683452,0.7131879835647357,0.7228835208537175,0.6300155438985173,0.7680926081754266,0.6979974272905449,0.7602411388555543,0.6977377479013992,0.7409225090152132,0.7443703811347531,0.7828516955310456,0.7331404164958109,0.7389307482947806
Burundi,0.3587701817443523,0.36161456731106956,0.36575426750985074,0.38387321631356036,0.39505121725292336,0.4043355122244106,0.4033803867610236,0.42403950658616385,0.4233362230142842,0.428167423444152,0.4311411308034944,0.4232718834429088,0.45051071933980313,0.43426887418424476,0.4590587162292535,0.467736909436576,0.4755315352651615,0.46693410033459104,0.4769140546207223,0.46992114737234764,0.4508515704913252,0.44507977936698956,0.4535756355579943,0.4382474746718983,0.5012866015160578,0.51843004737727,0.5248389312238463,0.5181790279060434,0.48283199026396467,0.5238472280291502,0.5308208496574549,0.5300663421721165,0.5270596230980698,0.49886939759206567,0.5336413601360628,0.5255174306282868,0.529436079969691,0.5226455935254232,0.43172690849286083,0.4532680814785328,0.5526052803277557,0.5862816892929829,0.5313673952715536,0.6000522437138918,0.5257622675690103,0.5601660058342255,0.5165678556346146,0.5120837781190948,0.501961408757704,0.5184633444554811,0.5040436174936499,0.38892477802480424,0.42183694213144834,0.39484791172122924,0.39280043821501903,0.4038067150927245
Cabo Verde,0.16958248711771093,0.16921774235909728,0.16823057406112019,0.18369174923960832,0.1949780517282719,0.1976390491411575,0.18509254389472082,0.15533112386673234,0.18861305619070695,0.21840213735388725,0.23278006018732642,0.266839784795197,0.2931700413187682,0.29577921441746713,0.3107124951380043,0.29119818862006525,0.35033964195660683,0.5369099880979871,0.48738477006598213,0.5213870235840523,0.6943728937740204,0.5429772422094306,0.6546927340547225,0.6453782693403917,0.5876841536022271,0.6539669282074211,0.6973154991413448,0.7211436759876204,0.7398701670200408,0.7316063063873198,0.8098542579268095,0.8895944331090491,0.8107414412108296,0.8821587081582835,0.8752217316398245,0.8149125648899271,0.7887868411411432,0.7758509095321895,0.9043876250198286,0.7812578115887536,0.7674196535417304,0.7710663413956507,0.8158819706753472,0.9169363393874979,1.1169604580145642,0.8844149036959038,1.125589516806641,1.2056106409641951,1.0882838604233378,1.0072935530596898,0.9961529501377001,0.9044446669398264,1.2650456175092213,0.9610220105533271,1.0072937294704227,0.8793205190664699
